Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,size_inch,Max. Resolution,COVID-19 Safety
https://www.gumtree.com.au/s-ad/garbutt/tvs/sony-bravia-kdl-32ex500/1263041765,150.0,Garbutt,2020-12-06,2020-12-06,Sony,Used,,,,,
https://www.gumtree.com.au/s-ad/hornsby/tvs/pioneer-50inch-plasma-tv-television/1263041175,300.0,Hornsby,2020-12-06,2020-12-06,,Used,Plasma,,50.0,,
https://www.gumtree.com.au/s-ad/merrylands/tvs/kogan-43-4k-smart-tv/1263040870,250.0,Merrylands,2020-12-06,2020-12-06,Kogan,Used,LED,40-49 in,43.0,2160p (4K),
https://www.gumtree.com.au/s-ad/wollongong/tvs/samsung-32-inch-smart-tv/1263040792,250.0,Wollongong,2020-12-06,2020-12-06,Samsung,Used,LED,30-39 in,32.0,,
https://www.gumtree.com.au/s-ad/mount-lewis/tvs/panasonic-128cm-plasma-tv-excellent-condition/1263040583,110.0,Mount Lewis,2020-12-06,2020-12-06,Panasonic,Used,Plasma,50-60 in,50.0,,
https://www.gumtree.com.au/s-ad/bentley/tvs/older-lg-tv/1263040525,30.0,Bentley,2020-12-06,2020-12-06,LG,Used,,,,,
https://www.gumtree.com.au/s-ad/port-elliot/tvs/36-inch-polaroid-tv/1263040315,150.0,Port Elliot,2020-12-06,2020-12-06,,Used,,30-39 in,36.0,,
https://www.gumtree.com.au/s-ad/raby/tvs/tv-with-tv-stand-for-both/1263039769,1000.0,Raby,2020-12-06,2020-12-06,Samsung,Used,LED,40-49 in,,1080p,
https://www.gumtree.com.au/s-ad/padbury/tvs/22-samsung-lcd-television/1263039672,55.0,Padbury,2020-12-06,2020-12-06,,Used,,,,,
https://www.gumtree.com.au/s-ad/ellenbrook/tvs/lcd-tv-with-free-indoor-antenna/1263039408,60.0,Ellenbrook,2020-12-06,2020-12-06,TCL,Used,LCD,,,,
https://www.gumtree.com.au/s-ad/taylors-beach/tvs/lg-50-plasma-tv/1263038962,250.0,Taylors Beach,2020-12-06,2020-12-06,LG,Used,Plasma,,50.0,,
https://www.gumtree.com.au/s-ad/maroubra/tvs/tv/1263038955,80.0,Maroubra,2020-12-06,2020-12-06,,Used,,,,,
