Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Screen Size,COVID-19 Safety,Display Technology,Max. Resolution
https://www.gumtree.com.au/s-ad/bassendean/tvs/cracked-55-inch-platinum-tv/1255819832,,Bassendean,2020-08-31,2020-08-31,Other,Used,50-60 in,,,2160p (4K)
https://www.gumtree.com.au/s-ad/boronia/tvs/samsung-46-inch-3d-tv/1255819646,449.0,Boronia,2020-08-31,2020-08-31,Samsung,Used,40-49 in,Contactless trade,LED,1080p
https://www.gumtree.com.au/s-ad/west-gladstone/tvs/sony-bravia-lcd-tv-52-inch/1255818994,50.0,West Gladstone,2020-08-31,2020-08-31,Sony,Used,50-60 in,,LCD,
https://www.gumtree.com.au/s-ad/redland-bay/tvs/bauhn-tv-50/1255818753,75.0,Redland Bay,2020-08-31,2020-08-31,Other,Used,50-60 in,,,
https://www.gumtree.com.au/s-ad/north-narrabeen/tvs/samsung-55-tu8000-crystal-uhd-4k-smart-tv-2020-/1255818105,990.0,North Narrabeen,2020-08-31,2020-08-31,Samsung,New,50-60 in,,LED LCD,2160p (4K)
https://www.gumtree.com.au/s-ad/cambridge/tvs/television-/1255817696,150.0,Cambridge,2020-08-31,2020-08-31,Panasonic,Used,,,Plasma,
https://www.gumtree.com.au/s-ad/slacks-creek/tvs/42-tv/1255817579,120.0,Slacks Creek,2020-08-31,2020-08-31,,Used,40-49 in,,,
https://www.gumtree.com.au/s-ad/manly-vale/tvs/samsung-40-led-tv/1255817471,120.0,Manly Vale,2020-08-31,2020-08-31,Samsung,Used,40-49 in,,LED,
https://www.gumtree.com.au/s-ad/kingsford/tvs/sony-bravia-lcd-tv-37-rustic-tv-bench-like-new-google-chromecast/1255817409,170.0,Kingsford,2020-08-31,2020-08-31,Sony,Used,30-39 in,,LCD,1080p
https://www.gumtree.com.au/s-ad/glen-iris/tvs/-samsung-55-inch-ua55c7000-3d-lcd-tv-/1255817194,199.0,Glen Iris,2020-08-31,2020-08-31,Samsung,Used,,,LCD,
https://www.gumtree.com.au/s-ad/fairlight/tvs/samsung-46inc-3d-tv-series/1255816923,350.0,Fairlight,2020-08-31,2020-08-31,Samsung,Used,40-49 in,,LCD,
https://www.gumtree.com.au/s-ad/eleebana/tvs/panasonic-42in-plasma-television/1255816722,80.0,Eleebana,2020-08-31,2020-08-31,Panasonic,Used,40-49 in,,Plasma,
https://www.gumtree.com.au/s-ad/southern-river/tvs/panasonic-50-plasma-television-th-p50vt20a/1255816519,235.0,Southern River,2020-08-31,2020-08-31,Panasonic,Used,50-60 in,,Plasma,1080p
https://www.gumtree.com.au/s-ad/cremorne/tvs/37-lcd-fhd-tv-and-lg-blu-ray-player-1tb-hdd-recorder/1255816464,65.0,Cremorne,2020-08-31,2020-08-31,Samsung,Used,,,LCD,1080p
https://www.gumtree.com.au/s-ad/beresfield/tvs/widescreen-crt/1255816292,50.0,Beresfield,2020-08-31,2020-08-31,Panasonic,Used,,,CRT,
https://www.gumtree.com.au/s-ad/beresfield/tvs/sony-trinitron-crt-tv/1255816119,100.0,Beresfield,2020-08-31,2020-08-31,Sony,Used,,,CRT,
https://www.gumtree.com.au/s-ad/canning-vale/tvs/32-inch-panasonic-th-l32em5a-tv-led-lcd-1920-x-1080/1255815888,180.0,Canning Vale,2020-08-31,2020-08-31,Panasonic,Used,30-39 in,,LED LCD,1080p
https://www.gumtree.com.au/s-ad/coburg/tvs/lg-smart-tv-42-inch-model-42lb5820-/1255815728,200.0,Coburg,2020-08-31,2020-08-31,LG,Used,,,,
https://www.gumtree.com.au/s-ad/epping/tvs/panasonic-th-l39b6a-39-inch-led-tv/1255815394,179.0,Epping,2020-08-31,2020-08-31,Panasonic,Used,30-39 in,,LED,1080p
https://www.gumtree.com.au/s-ad/macquarie-park/tvs/sony-kd49x7000d-49-inch-123-cm-smart-4k-uhd-led-lcd-tv/1255815076,700.0,Macquarie Park,2020-08-31,2020-08-31,Sony,Used,40-49 in,,LED LCD,2160p (4K)
https://www.gumtree.com.au/s-ad/scarborough/tvs/sony-bravia-tv-42-inch/1255815060,200.0,Scarborough,2020-08-31,2020-08-31,Sony,Used,,,,
https://www.gumtree.com.au/s-ad/harris-park/tvs/tv-for-sale/1255814847,600.0,Harris Park,2020-08-31,2020-08-31,Other,Used,Other,,Other,Other
https://www.gumtree.com.au/s-ad/northgate/tvs/hisense-full-hd-led-lcd-65-inch-tv/1255814538,900.0,Northgate,2020-08-31,2020-08-31,Hisense,Used,Other,Contactless trade,LED LCD,Other
https://www.gumtree.com.au/s-ad/baldivis/tvs/lg-tv-26-inch/1255814294,70.0,Baldivis,2020-08-31,2020-08-31,LG,Used,20-29 in,,,
https://www.gumtree.com.au/s-ad/sandgate/tvs/lg-42-smart-tv-plus-laser-set-top-box/1255813501,125.0,Sandgate,2020-08-31,2020-08-31,LG,Used,40-49 in,,LED,
https://www.gumtree.com.au/s-ad/cranbourne-north/tvs/tv-working-good-quality/1255813344,350.0,Cranbourne North,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/runcorn/tvs/80cm-tv-with-inbuilt-dvd-player-ge6823-hd-led-tv-with-stand-and-remote/1255812520,160.0,Runcorn,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/karrinyup/tvs/65cm-teac-lcd-tv-panasonic-dmp-bd77-blu-ray-player/1255812207,100.0,Karrinyup,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/sapphire-beach/tvs/dick-smith-40-lcd-tv-ge6987/1255811806,135.0,Sapphire Beach,2020-08-31,2020-08-31,Other,Used,40-49 in,,Other,1080p
https://www.gumtree.com.au/s-ad/north-adelaide/tvs/panasonic-viera-50-/1255811736,200.0,North Adelaide,2020-08-31,2020-08-31,Panasonic,Used,,,,
